"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2020","New Brunswick","Ferrous metals","Residential sources of diverted materials",13,
"2020","New Brunswick","Ferrous metals","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Copper and aluminum","All sources of diverted materials",13,
"2020","New Brunswick","Copper and aluminum","Residential sources of diverted materials",13,
"2020","New Brunswick","Copper and aluminum","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Mixed metals","All sources of diverted materials",13,1.19091382532243
"2020","New Brunswick","Mixed metals","Residential sources of diverted materials",13,
"2020","New Brunswick","Mixed metals","Non-residential sources of diverted materials",13,
"2020","New Brunswick","White goods","All sources of diverted materials",13,
"2020","New Brunswick","White goods","Residential sources of diverted materials",13,
"2020","New Brunswick","White goods","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Electronics","All sources of diverted materials",13,1.20112530506796
"2020","New Brunswick","Electronics","Residential sources of diverted materials",13,
"2020","New Brunswick","Electronics","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Plastics","All sources of diverted materials",13,7.14931225683914
"2020","New Brunswick","Plastics","Residential sources of diverted materials",13,
"2020","New Brunswick","Plastics","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Gable top and aseptic containers","All sources of diverted materials",13,0.598648000081692
"2020","New Brunswick","Gable top and aseptic containers","Residential sources of diverted materials",13,
"2020","New Brunswick","Gable top and aseptic containers","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Textiles","All sources of diverted materials",13,0
"2020","New Brunswick","Textiles","Residential sources of diverted materials",13,0
"2020","New Brunswick","Textiles","Non-residential sources of diverted materials",13,0
"2020","New Brunswick","Tires","All sources of diverted materials",13,15.1334129828753
"2020","New Brunswick","Tires","Residential sources of diverted materials",13,
"2020","New Brunswick","Tires","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Construction, renovation and demolition","All sources of diverted materials",13,13.7650746969743
"2020","New Brunswick","Construction, renovation and demolition","Residential sources of diverted materials",13,3.87398012846042
"2020","New Brunswick","Construction, renovation and demolition","Non-residential sources of diverted materials",13,9.89109456851392
"2020","New Brunswick","All organic materials","All sources of diverted materials",13,108.448467767464
"2020","New Brunswick","All organic materials","Residential sources of diverted materials",13,34.2059042775889
"2020","New Brunswick","All organic materials","Non-residential sources of diverted materials",13,74.2425634898753
"2020","New Brunswick","Food waste and source separated organics","All sources of diverted materials",13,22.8430801907504
"2020","New Brunswick","Food waste and source separated organics","Residential sources of diverted materials",13,
"2020","New Brunswick","Food waste and source separated organics","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Leaf and yard waste","All sources of diverted materials",13,11.8172349355145
"2020","New Brunswick","Leaf and yard waste","Residential sources of diverted materials",13,
"2020","New Brunswick","Leaf and yard waste","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Other organic materials","All sources of diverted materials",13,73.7881526411992
"2020","New Brunswick","Other organic materials","Residential sources of diverted materials",13,
"2020","New Brunswick","Other organic materials","Non-residential sources of diverted materials",13,
"2020","New Brunswick","Other materials","All sources of diverted materials",13,8.53679706726302
"2020","New Brunswick","Other materials","Residential sources of diverted materials",13,8.53679706726302
"2020","New Brunswick","Other materials","Non-residential sources of diverted materials",13,0
"2020","Quebec","All materials diverted","All sources of diverted materials",24,180.606694230388
"2020","Quebec","All materials diverted","Residential sources of diverted materials",24,
"2020","Quebec","All materials diverted","Non-residential sources of diverted materials",24,
"2020","Quebec","All paper fibres","All sources of diverted materials",24,74.6687997268186
"2020","Quebec","All paper fibres","Residential sources of diverted materials",24,26.8807679016547
"2020","Quebec","All paper fibres","Non-residential sources of diverted materials",24,47.7880318251639
"2020","Quebec","Glass","All sources of diverted materials",24,5.9870694922697
"2020","Quebec","Glass","Residential sources of diverted materials",24,2.27503027390059
"2020","Quebec","Glass","Non-residential sources of diverted materials",24,3.71203921836911
"2020","Quebec","Ferrous metals","All sources of diverted materials",24,3.30086380750068
"2020","Quebec","Ferrous metals","Residential sources of diverted materials",24,3.30086380750068
"2020","Quebec","Ferrous metals","Non-residential sources of diverted materials",24,
"2020","Quebec","Copper and aluminum","All sources of diverted materials",24,0.794050352615659
"2020","Quebec","Copper and aluminum","Residential sources of diverted materials",24,0.794050352615659
"2020","Quebec","Copper and aluminum","Non-residential sources of diverted materials",24,
"2020","Quebec","Mixed metals","All sources of diverted materials",24,0.95496541670979
"2020","Quebec","Mixed metals","Residential sources of diverted materials",24,0.95496541670979
"2020","Quebec","Mixed metals","Non-residential sources of diverted materials",24,
"2020","Quebec","White goods","All sources of diverted materials",24,0.748442158577352
"2020","Quebec","White goods","Residential sources of diverted materials",24,0.711020050648484
"2020","Quebec","White goods","Non-residential sources of diverted materials",24,0.0374221079288676
"2020","Quebec","Electronics","All sources of diverted materials",24,2.04371486926528
"2020","Quebec","Electronics","Residential sources of diverted materials",24,
"2020","Quebec","Electronics","Non-residential sources of diverted materials",24,
"2020","Quebec","Plastics","All sources of diverted materials",24,4.79587701925894
"2020","Quebec","Plastics","Residential sources of diverted materials",24,2.63779083263605
"2020","Quebec","Plastics","Non-residential sources of diverted materials",24,2.15820313071016
"2020","Quebec","Gable top and aseptic containers","All sources of diverted materials",24,0
"2020","Quebec","Gable top and aseptic containers","Residential sources of diverted materials",24,0
"2020","Quebec","Gable top and aseptic containers","Non-residential sources of diverted materials",24,0
"2020","Quebec","Textiles","All sources of diverted materials",24,1.00700553554837
